bookname,bookdetail,bookscore,bookscorenums,bookquote,bookimg
菊与刀,（美）鲁思・本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00,8.2,52845,复杂矛盾的日本民族,https://img9.doubanio.com/view/subject/m/public/s1074166.jpg
刀锋,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,9.0,46579,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://img3.doubanio.com/view/subject/m/public/s2347562.jpg
我与地坛,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,9.0,45392,这是你的罪孽与福祉,https://img1.doubanio.com/view/subject/m/public/s1151479.jpg
狂人日记,鲁迅 / 京华出版社 / 2006-3 / 39.80元,8.7,46058,中国现代文学史上第一篇真正的现代白话小说,https://img1.doubanio.com/view/subject/m/public/s1426308.jpg
最好的我们,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,8.8,45990,耿耿余淮,https://img9.doubanio.com/view/subject/m/public/s26720726.jpg
富爸爸，穷爸爸,（美）罗伯特・T・清崎 / 杨君，杨明 / 世界图书出版公司 / 2000-09 / 18.80,8.3,49270,人穷穷观念，人富钱生钱,https://img3.doubanio.com/view/subject/m/public/s1429010.jpg
地下铁,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,8.3,49176,黑暗世界中的点滴亮光,https://img3.doubanio.com/view/subject/m/public/s1672971.jpg
步步惊心,桐华 / 民族出版社 / 2006-6 / 25.00元,8.1,50906,现世太苦，不如穿越回去从头来过,https://img9.doubanio.com/view/subject/m/public/s1681146.jpg
球状闪电,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,8.7,45877,量子之外，没有真相,https://img3.doubanio.com/view/subject/m/public/s26040205.jpg
尘埃落定,阿来 / 人民文学出版社 / 1998-3-1 / 22.0,8.5,46501,一个傻子的土司家族传奇,https://img3.doubanio.com/view/subject/m/public/s9140762.jpg
悲惨世界（上中下）,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,8.9,42909,现实主义与浪漫主义的至高杰作,https://img3.doubanio.com/view/subject/m/public/s1148102.jpg
那些回不去的年少时光,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,8.4,45423,所有你曾热爱却正在遗忘的人和事,https://img3.doubanio.com/view/subject/m/public/s4130990.jpg
孤独六讲,蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元,8.1,48773,作为一种美学的孤独,https://img3.doubanio.com/view/subject/m/public/s4075572.jpg
呼兰河传,萧红 / 百花文艺出版社 / 2005-01 / 19.00,8.9,43671,萧红的童年往事,https://img3.doubanio.com/view/subject/m/public/s1167060.jpg
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,8.9,43470,淡泊，超脱,https://img3.doubanio.com/view/subject/m/public/s1044902.jpg
瓦尔登湖,[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元,8.4,46132,另一种生活,https://img1.doubanio.com/view/subject/m/public/s1999119.jpg
月亮忘記了,幾米 / 格林 / 2000-2-1 / NT$ 299,8.6,44264,月明星稀的晚上，看不见的，看见了,https://img1.doubanio.com/view/subject/m/public/s1385508.jpg
金锁记,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,8.5,44289,曹七巧就像希克厉，一个扭曲的英雄,https://img3.doubanio.com/view/subject/m/public/s2976745.jpg
倚天屠龙记(共四册),金庸 / 三联书店 / 1999-04 / 47.00,8.6,43296,不识张郎是张郎,https://img1.doubanio.com/view/subject/m/public/s1829709.jpg
此间的少年,江南 / 华文出版社 / 2004-1 / 25.00元,8.4,45511,象牙塔里的金庸群侠,https://img1.doubanio.com/view/subject/m/public/s1068707.jpg
夏洛的网,[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元,8.6,43406,猪与蜘蛛,https://img1.doubanio.com/view/subject/m/public/s1120437.jpg
我的天才女友,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,8.5,43099,两个女人，50年的友谊和战争,https://img1.doubanio.com/view/subject/m/public/s29164777.jpg
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,8.7,42088,完美主义者的最高形态,https://img3.doubanio.com/view/subject/m/public/s6974202.jpg
人生,路遥 / 北京十月文艺出版社 / 2009-5 / 20.00元,8.4,42213,如果你是高加林，你要如何选择？,https://img3.doubanio.com/view/subject/m/public/s3847911.jpg
荆棘鸟,[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元,8.6,41830,澳洲乱世情,https://img3.doubanio.com/view/subject/m/public/s2781615.jpg
哭泣的骆驼,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,8.9,40102,沙漠中寻常的生与死,https://img9.doubanio.com/view/subject/m/public/s1020454.jpg
时间简史,[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元,8.8,40500,霍金与上帝的战争,https://img3.doubanio.com/view/subject/m/public/s1914861.jpg
鹿鼎记（全五册）,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,8.8,40503,武侠的解构，流氓的狂欢,https://img3.doubanio.com/view/subject/m/public/s3134040.jpg
海贼王,尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.50元,9.5,36954,热血，梦想，希望,https://img3.doubanio.com/view/subject/m/public/s29524800.jpg
伊豆的舞女,[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元,8.2,43433,静美又残酷，无限柔软的川端,https://img3.doubanio.com/view/subject/m/public/s1056010.jpg
红与黑,[法] 司汤达 / 张冠尧 / 人民文学出版社 / 2002 / 20.00元,8.2,43103,阴谋与爱情,https://img1.doubanio.com/view/subject/m/public/s2332189.jpg
一個人住第5年,高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220,8.4,40997,独居生活之乐,https://img3.doubanio.com/view/subject/m/public/s7059163.jpg
长恨歌,王安忆 / 南海出版公司 / 2003-8 / 22.00元,8.2,42329,现代上海史诗,https://img3.doubanio.com/view/subject/m/public/s3018752.jpg
东霓,笛安 / 长江文艺出版社 / 2010-7-1 / 26.80元,8.1,42881,自毁而偏执的东霓,https://img3.doubanio.com/view/subject/m/public/s4397380.jpg
寻路中国,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,9.0,37718,中国在路上，非虚构写作所能达到的高度,https://img1.doubanio.com/view/subject/m/public/s32271209.jpg
陆犯焉识,严歌苓 / 作家出版社 / 2011-10 / 35.00元,8.8,37894,翻手为苍凉，覆手为繁华,https://img3.doubanio.com/view/subject/m/public/s6987353.jpg
你一定爱读的极简欧洲史,约翰·赫斯特（John Hirst） / 席玉苹 / 广西师范大学出版社 / 2011-11-25 / 25.00元,8.2,40994,欧洲，为什么老是抢第一？,https://img3.doubanio.com/view/subject/m/public/s4542951.jpg
常识,梁文道 / 广西师范大学出版社 / 2009-1 / 38.00,8.1,41468,献给这个常识稀缺的时代,https://img3.doubanio.com/view/subject/m/public/s3588323.jpg
中国历代政治得失,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.2,35758,一部简明的“中国政治制度史”,https://img3.doubanio.com/view/subject/m/public/s1319205.jpg
罗生门,[日]芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,8.7,38012,,https://img1.doubanio.com/view/subject/m/public/s3435158.jpg
自控力,[美]  凯利·麦格尼格尔 / 王岑卉 / 文化发展出版社(原印刷工业出版社) / 2012-8 / 39.80元,8.2,39669,要么瘦，要么死,https://img3.doubanio.com/view/subject/m/public/s10685385.jpg
父与子全集,[德] 埃·奥·卜劳恩 绘 / 杨莹 / 中国工人出版社 / 2003-4 / 20.00元,9.2,34390,,https://img1.doubanio.com/view/subject/m/public/s1094608.jpg
一千零一夜,纳训 / 人民文学出版社 / 2003-01 / 22.0,8.6,36719,,https://img1.doubanio.com/view/subject/m/public/s1070937.jpg
时间旅行者的妻子,[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元,8.1,39678,在时间的缝隙中穿行，然后相遇,https://img9.doubanio.com/view/subject/m/public/s2375756.jpg
变形记,[奥] 卡夫卡 / 叶廷芳 / 浙江文艺出版社 / 2003-4 / 16.00元,8.4,37468,格里高里清早醒来发现自己变成了甲虫,https://img9.doubanio.com/view/subject/m/public/s26042134.jpg
项链,[法] 莫泊桑 / 顾加琛 等 / 河北教育出版社 / 2005-2 / 28.00元,8.4,37212,,https://img1.doubanio.com/view/subject/m/public/s1240228.jpg
失恋33天,鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元,8.0,39881,失恋是一种病，痊愈之后百毒不侵,https://img9.doubanio.com/view/subject/m/public/s6980516.jpg
你好，旧时光（上 下）,八月长安 / 新世界出版社 / 2009-12 / 39.80元,8.7,35602,原作名切题,https://img1.doubanio.com/view/subject/m/public/s4293097.jpg
一九八四·动物农场,[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元,9.3,33613,一个预言和一个寓言，令人窒息的政治恐怖,https://img9.doubanio.com/view/subject/m/public/s1089916.jpg
人性的弱点全集,[美] 戴尔·卡耐基 / 袁玲 / 中国发展出版社 / 2008-1 / 25.00元,8.2,37062,西方世界最持久的人文畅销书,https://img3.doubanio.com/view/subject/m/public/s1083685.jpg
匆匆那年（上下）,九夜茴 / 东方出版社 / 2008-1 / 29.00,8.2,38079,不悔梦归处 只恨太匆匆,https://img3.doubanio.com/view/subject/m/public/s2892553.jpg
影响力,[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元,8.6,35352,营销防骗指南,https://img3.doubanio.com/view/subject/m/public/s1657785.jpg
历史深处的忧虑,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,9.0,33667,窥见美国社会的一扇窗,https://img9.doubanio.com/view/subject/m/public/s1768916.jpg
那些年，我们一起追的女孩,九把刀 / 花山文艺出版社 / 2007-1 / 20.00元,8.2,37568,那些年错过的大雨,https://img3.doubanio.com/view/subject/m/public/s1982025.jpg
未来简史,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2 / 68.00元,8.4,35440,人类面临的新议题,https://img3.doubanio.com/view/subject/m/public/s29287103.jpg
冰与火之歌（卷一）,[美] 乔治·R. R. 马丁 / 谭光磊 / 重庆出版社 / 2005-5 / 68.00元,9.3,31534,凛冬将至。无比宏大的世界观,https://img9.doubanio.com/view/subject/m/public/s1358984.jpg
人间词话,王国维 / 上海古籍出版社 / 1998-12-01 / 9.80元,9.0,32630,,https://img1.doubanio.com/view/subject/m/public/s9130587.jpg
橙,安东尼 / 长江文艺出版社 / 2010-10 / 28.80元,8.2,36526,定做一个刻着“不过如此”的章，盖在封面上,https://img9.doubanio.com/view/subject/m/public/s4512594.jpg
世界尽头与冷酷仙境,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元,8.6,34439,交叉平行蒙太奇,https://img1.doubanio.com/view/subject/m/public/s1801057.jpg
大地之灯,七堇年 / 长江文艺出版社 / 2007-1 / 22.00元,8.2,36141,两代人的成长与救赎,https://img3.doubanio.com/view/subject/m/public/s1994710.jpg
江城,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,9.0,32109,外国人的寻路中国,https://img3.doubanio.com/view/subject/m/public/s7019913.jpg
香水,[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元,8.5,34100,恋味癖谋杀案,https://img1.doubanio.com/view/subject/m/public/s1556748.jpg
新名字的故事,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,9.0,31955,,https://img9.doubanio.com/view/subject/m/public/s29376146.jpg
长安十二时辰 上,马伯庸 / 湖南文艺出版社 / 2017-1-1 / CNY 79.60,8.4,35253,,https://img3.doubanio.com/view/subject/m/public/s29247343.jpg
雨季不再来,三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元,8.7,33223,,https://img1.doubanio.com/view/subject/m/public/s2563279.jpg
面纱,(英)W.萨默塞特·毛姆 / 阮景林 / 重庆 / 2012-05-01 / 32.00元,8.7,32948,,https://img9.doubanio.com/view/subject/m/public/s9038826.jpg
阿狸·梦之城堡,hans / 上海锦绣文章出版社 / 2009-1 / 36.80元,9.0,31866,治愈,https://img3.doubanio.com/view/subject/m/public/s3721175.jpg
看不见的城市,[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元,8.8,31970,每一座城市都只在想象中耸立，又在描述中坍圮,https://img3.doubanio.com/view/subject/m/public/s1804710.jpg
把时间当作朋友,李笑来 / 电子工业出版社 / 2009-6 / 32.00元,8.4,33584,反成功学的成功学,https://img3.doubanio.com/view/subject/m/public/s3778613.jpg
一句顶一万句,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,8.7,32180,一句胜过千年,https://img1.doubanio.com/view/subject/m/public/s6916838.jpg
天使与魔鬼,[美] 丹.布朗 / 朱振武 / 人民文学出版社 / 2005-2 / 29.80元,8.2,33983,科学与宗教的大乱斗,https://img3.doubanio.com/view/subject/m/public/s1914485.jpg
第一炉香,张爱玲 / 花城出版社 / 1997-3 / 11.5,8.4,32611,,https://img1.doubanio.com/view/subject/m/public/s1077099.jpg
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,8.7,31498,阿婆代表作之一,https://img1.doubanio.com/view/subject/m/public/s1683067.jpg
ZOO,[日] 乙一 / 李颖秋 / 当代世界出版社 / 2007-10 / 20.00元,8.6,31324,噩梦中的一丝温度,https://img1.doubanio.com/view/subject/m/public/s2756239.jpg
国境以南 太阳以西,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 13.50元,8.3,32804,灾星下出生的恋人们,https://img3.doubanio.com/view/subject/m/public/s2333463.jpg
文学回忆录（全2册）,木心 讲述 / 广西师范大学出版社 / 2013-1-10 / 98.00元,9.2,29161,木心留给世界的礼物,https://img1.doubanio.com/view/subject/m/public/s24611679.jpg
七夜雪,沧月 / 北京十月文艺出版社 / 2006-10 / 25.00元,8.4,31581,抵不过时间,https://img1.doubanio.com/view/subject/m/public/s3007857.jpg
没有色彩的多崎作和他的巡礼之年,[日] 村上春树 / 施小炜 / 南海出版公司 / 2013-10-1 / 39.50元,8.2,32248,并不是一切都消失在了时间的长河里,https://img3.doubanio.com/view/subject/m/public/s27094300.jpg
京华烟云,林语堂 / 张振玉 / 陕西师范大学出版社 / 2005-7 / 43.00元,8.5,31090,林语堂的《红楼梦》,https://img1.doubanio.com/view/subject/m/public/s1395779.jpg
哈姆莱特,[英] 莎士比亚 / 朱生豪 / 人民文学出版社 / 2001-1 / 7.00元,8.5,30431,,https://img1.doubanio.com/view/subject/m/public/s27009357.jpg
万水千山走遍,三毛 / 哈尔滨出版社 / 2003-08 / 13.80,8.8,29024,,https://img3.doubanio.com/view/subject/m/public/s1099483.jpg
海子的诗,海子 / 人民文学出版社 / 1999-04 / 15.40,8.9,28652,,https://img3.doubanio.com/view/subject/m/public/s1067491.jpg
芳华,严歌苓 / 人民文学出版社 / 2017-4-1 / 39.00元,8.1,31399,,https://img3.doubanio.com/view/subject/m/public/s29418322.jpg
往事并不如烟,章诒和 / 人民文学出版社 / 2004-1 / 35.00元,8.6,29085,知识分子的命运浮沉,https://img1.doubanio.com/view/subject/m/public/s1108667.jpg
教父,[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元,9.0,27457,,https://img3.doubanio.com/view/subject/m/public/s1700225.jpg
雾都孤儿,[英]狄更斯 / 荣如德 / 上海译文出版社 / 1991-7 / 10.10元,8.1,30662,,https://img3.doubanio.com/view/subject/m/public/s1300531.jpg
蔷薇岛屿,安妮宝贝 / 作家出版社 / 2002-8 / 18.00元,8.0,31543,你们不会彼此遗忘。只会彼此消失,https://img3.doubanio.com/view/subject/m/public/s3237601.jpg
娱乐至死,[美] 尼尔·波兹曼 / 章艳 / 广西师范大学出版社 / 2011-6 / 29.80元,8.5,29225,,https://img9.doubanio.com/view/subject/m/public/s6776106.jpg
新参者,[日] 东野圭吾 / 岳远坤 / 南海出版公司 / 2011-9 / 28.00元,8.4,29750,,https://img3.doubanio.com/view/subject/m/public/s6942170.jpg
我的精神家园,王小波 / 文化艺术出版社 / 1997 / 18.80元,9.1,26813,活过，爱过，写过,https://img3.doubanio.com/view/subject/m/public/s1016763.jpg
妻妾成群,苏童 / 上海文艺出版社 / 2004-8 / 23.00元,8.2,29924,,https://img3.doubanio.com/view/subject/m/public/s6478105.jpg
台北人,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,8.9,27139,,https://img3.doubanio.com/view/subject/m/public/s4526465.jpg
激荡三十年（上）,吴晓波 / 中信出版社 浙江人民出版社 / 2007-1 / 35.00,8.8,27586,这是一个最好的时代，也是一个最坏的时代,https://img3.doubanio.com/view/subject/m/public/s10431840.jpg
斯通纳,[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元,8.8,27389,,https://img3.doubanio.com/view/subject/m/public/s28332051.jpg
最初的爱情 最后的仪式,[英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元,8.0,30695,别被封面骗了,https://img3.doubanio.com/view/subject/m/public/s3979661.jpg
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,9.0,26388,,https://img3.doubanio.com/view/subject/m/public/s29071620.jpg
野火集,龙应台 / 文汇出版社 / 2005-8 / 25.00元,8.8,27193,中国人你为什么不生气？,https://img1.doubanio.com/view/subject/m/public/s1469589.jpg
九州·缥缈录,江南 / 新世界出版社 / 2005-6 / 20.00元,8.8,26749,乱世的英雄史诗,https://img1.doubanio.com/view/subject/m/public/s1520169.jpg
生活在别处,[捷克] 米兰·昆德拉 / 袁筱一 / 上海译文出版社 / 2004-5 / 25.00元,8.4,28638,此处的生活唯有残酷,https://img3.doubanio.com/view/subject/m/public/s1069535.jpg
设计中的设计,[日] 原研哉 / 朱锷 / 山东人民出版社 / 2006-11 / 48.00元,8.6,27581,日常生活的无限可能性,https://img3.doubanio.com/view/subject/m/public/s2165932.jpg
心是孤独的猎手,[美] 卡森·麦卡勒斯 / 陈笑黎 / 上海三联书店 / 2005-8 / 25.00元,8.5,27376,镇上有两个哑巴，他们总是在一起。,https://img1.doubanio.com/view/subject/m/public/s1436379.jpg
琅琊榜,海宴 / 朝华出版社 / 2007-12 / 49.80元,8.5,26445,,https://img3.doubanio.com/view/subject/m/public/s8994402.jpg
乡土中国,费孝通 / 上海人民出版社 / 2006-4 / 38.00,9.2,24753,,https://img3.doubanio.com/view/subject/m/public/s1665415.jpg
占星术杀人魔法,[日] 岛田庄司 / 王鹏帆 / 新星出版社 / 2008-9 / 28.00,8.3,27209,一桩占星术连续杀人案件,https://img1.doubanio.com/view/subject/m/public/s3801839.jpg
我执,梁文道 / 广西师范大学出版社 / 2010-10 / 35.00元,8.0,28762,梁文道的私密日记,https://img1.doubanio.com/view/subject/m/public/s3705488.jpg
子不语1,夏达 / 新世纪出版社 / 2009-12 / RMB36.00,9.0,24436,,https://img1.doubanio.com/view/subject/m/public/s4158947.jpg
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 / 谢延光 / 上海世纪出版集团 / 2006-4-1 / 45.00元,8.8,25263,,https://img3.doubanio.com/view/subject/m/public/s1738643.jpg
白银时代,王小波 / 花城出版社 / 1997-5 / 10.00元,8.4,26277,,https://img3.doubanio.com/view/subject/m/public/s1072540.jpg
红拂夜奔,王小波 / 江苏文艺出版社 / 2005-1 / 28.00元,8.7,25387,,https://img3.doubanio.com/view/subject/m/public/s26384792.jpg
偷书贼,[澳] 马克斯·苏萨克 / 孙张静 / 南海出版公司 / 2007-8 / 25.00元,8.0,27546,不能说偷，是窃，窃你懂吗,https://img3.doubanio.com/view/subject/m/public/s2686452.jpg
爱的艺术,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,8.8,24869,,https://img9.doubanio.com/view/subject/m/public/s2990934.jpg
舞！舞！舞！,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-6 / 25.00元,8.3,26602,深入村上春树的心灵腹地,https://img3.doubanio.com/view/subject/m/public/s1231290.jpg
动物凶猛,王朔 / 中国电影出版社 / 2004年02月 / 15.50元,8.3,26701,,https://img1.doubanio.com/view/subject/m/public/s9853099.jpg
佛祖在一号线,李海鹏 / 文化艺术出版社 / 2010-6 / 25.00元,8.2,27037,嬉笑怒骂的常识分子,https://img1.doubanio.com/view/subject/m/public/s4397779.jpg
告白,湊佳苗 / 丁世佳 / 時報文化 / 2009-8 / NT$250,8.6,25017,,https://img3.doubanio.com/view/subject/m/public/s3931802.jpg
浪潮之巅,吴军 / 电子工业出版社 / 2011-8 / 55.00元,9.0,23862,了解IT领域的入门读物,https://img3.doubanio.com/view/subject/m/public/s6807265.jpg
小姨多鹤,严歌苓 / 作家出版社 / 2008-4 / 28.00元,8.6,25344,,https://img1.doubanio.com/view/subject/m/public/s4045138.jpg
失踪的孩子,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-6-1 / 62,9.1,23545,,https://img1.doubanio.com/view/subject/m/public/s29799269.jpg
罗杰疑案,[英] 阿加莎·克里斯蒂 / 张江云 / 人民文学出版社 / 2006-5 / 21.00元,8.9,23908,,https://img1.doubanio.com/view/subject/m/public/s1772249.jpg
夹边沟记事,杨显惠 / 花城出版社 / 2008-09 / 34.00元,9.2,22968,,https://img3.doubanio.com/view/subject/m/public/s3455551.jpg
非暴力沟通,[美] 马歇尔·卢森堡 / 阮胤华 / 华夏出版社 / 2009-1 / 29.00元,8.4,25208,,https://img1.doubanio.com/view/subject/m/public/s9346487.jpg
高效能人士的七个习惯（精华版）,[美] 史蒂芬·柯维 / 高新勇 / 中国青年出版社 / 2011-6 / 29.00元,8.2,25169,,https://img3.doubanio.com/view/subject/m/public/s1067863.jpg
邓小平时代,[美] 傅高义 / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元,9.1,22183,,https://img1.doubanio.com/view/subject/m/public/s24516687.jpg
观念的水位,刘瑜 / 浙江大学出版社 / 2013-1 / 36.00元,8.3,24707,,https://img3.doubanio.com/view/subject/m/public/s26846213.jpg
云中歌1,桐华 / 作家出版社 / 2007-9 / 24.80元,8.0,25571,,https://img1.doubanio.com/view/subject/m/public/s2742719.jpg
巨流河,齐邦媛 / 生活·读书·新知三联书店 / 2010-10 / 39.00元,8.7,23106,,https://img1.doubanio.com/view/subject/m/public/s4494379.jpg
来不及说我爱你,匪我思存 / 新世界出版社 / 2006-9 / 20.00元,8.0,24445,,https://img1.doubanio.com/view/subject/m/public/s4596329.jpg
离开的，留下的,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-10 / 62.00,8.7,22368,,https://img3.doubanio.com/view/subject/m/public/s29535271.jpg
默读,Priest / 百花洲文艺出版社 / 2018-1 / 45.00,8.4,21668,,https://img1.doubanio.com/view/subject/m/public/s29663109.jpg
